object_name,shp_name,theme,dataset,type,layer_name,type,lds_Name,gpkg_file,kart_layer_name,geometry_type,has_z,feature_count,crs_code
Transport,airport_poly,Transport,Transport_Layers,airport,Airport,poly,50237-nz-airport-polygons-topo-150k,50237-nz-airport-polygons-topo-150k\nz_airport_polygons_topo_150k.gpkg,nz_airport_polygons_topo_150k,Polygon,FALSE,83,EPSG:2193
Structure,bridge_cl,Transport,Transport_Layers,bridge,Bridge_line,line,50244-nz-bridge-centrelines-topo-150k,50244-nz-bridge-centrelines-topo-150k\nz_bridge_centrelines_topo_150k.gpkg,nz_bridge_centrelines_topo_150k,LineString,FALSE,16365,EPSG:2193
Structure,building_poly,Buildings,Buildings_Layers,building,Building,poly,50246-nz-building-polygons-topo-150k,50246-nz-building-polygons-topo-150k\nz_building_polygons_topo_150k.gpkg,nz_building_polygons_topo_150k,Polygon,FALSE,66229,EPSG:2193
Structure,building_pnt,Buildings,Buildings_Layers,building,Building_point,point,50245-nz-building-points-topo-150k,50245-nz-building-points-topo-150k\nz_building_points_topo_150k.gpkg,nz_building_points_topo_150k,Point,FALSE,678860,EPSG:2193
Hydrography,coastline,Landcover,Water_Layers,coastline,Coastline,line,50258-nz-coastlines-topo-150k,50258-nz-coastlines-topo-150k\nz_coastlines_topo_150k.gpkg,nz_coastlines_topo_150k,LineString,FALSE,110,EPSG:2193
Relief,contour,Relief,Relief_Layers,contour,Contour,line,50768-nz-contours-topo-150k,,,,,,
Names,descriptive_text,Annonation,Annonation_Layers,descriptive_text,Descriptive_Text,point,50261-nz-descriptive-texts-topo-150k,50261-nz-descriptive-texts-topo-150k\nz_descriptive_texts_topo_150k.gpkg,nz_descriptive_texts_topo_150k,Point,FALSE,12195,EPSG:2193
Structure,fence_cl,Structures,Land_Layers,fence,Fence_line,line,50268-nz-fence-centrelines-topo-150k,50268-nz-fence-centrelines-topo-150k\nz_fence_centrelines_topo_150k.gpkg,nz_fence_centrelines_topo_150k,LineString,FALSE,852265,EPSG:2193
Transport,ferry_crossing_cl,Transport,Transport_Layers,ferry_crossing,Ferry_line,line,50269-nz-ferry-crossing-centrelines-topo-150k,50269-nz-ferry-crossing-centrelines-topo-150k\nz_ferry_crossing_centrelines_topo_150k.gpkg,nz_ferry_crossing_centrelines_topo_150k,LineString,FALSE,3,EPSG:2193
Names,geographic_name,Annonation,Annonation_Layers,geographic_name,Geographic_Name,point,50280-nz-geographic-names-topo-150k,50280-nz-geographic-names-topo-150k\nz_geographic_names_topo_150k.gpkg,nz_geographic_names_topo_150k,Point,FALSE,58267,EPSG:2193
Hydrography,island_poly,Landcover,Land_Layers,island,Island,poly,50288-nz-island-polygons-topo-150k,50288-nz-island-polygons-topo-150k\nz_island_polygons_topo_150k.gpkg,nz_island_polygons_topo_150k,Polygon,FALSE,15586,EPSG:2193
Hydrography,ice_poly,Landcover,Land_Layers,ice,Landcover,poly,50287-nz-ice-polygons-topo-150k,50287-nz-ice-polygons-topo-150k\nz_ice_polygons_topo_150k.gpkg,nz_ice_polygons_topo_150k,Polygon,FALSE,3317,EPSG:2193
Landcover,moraine_poly,Landcover,Land_Layers,moraine,Landcover,poly,50303-nz-moraine-polygons-topo-150k,50303-nz-moraine-polygons-topo-150k\nz_moraine_polygons_topo_150k.gpkg,nz_moraine_polygons_topo_150k,Polygon,FALSE,249,EPSG:2193
Landcover,moraine_wall_poly,Landcover,Land_Layers,moraine_wall,Landcover,poly,50304-nz-moraine-wall-polygons-topo-150k,50304-nz-moraine-wall-polygons-topo-150k\nz_moraine_wall_polygons_topo_150k.gpkg,nz_moraine_wall_polygons_topo_150k,Polygon,FALSE,229,EPSG:2193
Landcover,mud_poly,Landcover,Land_Layers,mud,Landcover,poly,50305-nz-mud-polygons-topo-150k,50305-nz-mud-polygons-topo-150k\nz_mud_polygons_topo_150k.gpkg,nz_mud_polygons_topo_150k,Polygon,FALSE,1993,EPSG:2193
Landcover,sand_poly,Landcover,Land_Layers,sand,Landcover,poly,50335-nz-sand-polygons-topo-150k,50335-nz-sand-polygons-topo-150k\nz_sand_polygons_topo_150k.gpkg,nz_sand_polygons_topo_150k,Polygon,FALSE,5459,EPSG:2193
Landcover,scree_poly,Landcover,Land_Layers,scree,Landcover,poly,50338-nz-scree-polygons-topo-150k,50338-nz-scree-polygons-topo-150k\nz_scree_polygons_topo_150k.gpkg,nz_scree_polygons_topo_150k,Polygon,FALSE,11622,EPSG:2193
Landcover,shingle_poly,Landcover,Land_Layers,shingle,Landcover,poly,50342-nz-shingle-polygons-topo-150k,50342-nz-shingle-polygons-topo-150k\nz_shingle_polygons_topo_150k.gpkg,nz_shingle_polygons_topo_150k,Polygon,FALSE,25961,EPSG:2193
Landcover,dredge_tailing_cl,Landuse,Land_Layers,dredge_tailing,Landcover_line,line,50264-nz-dredge-tailing-centrelines-topo-150k,50264-nz-dredge-tailing-centrelines-topo-150k\nz_dredge_tailing_centrelines_topo_150k.gpkg,nz_dredge_tailing_centrelines_topo_150k,LineString,FALSE,107,EPSG:2193
Landcover,fumarole_pnt,Landcover,Land_Layers,fumarole,Landcover_point,point,50276-nz-fumarole-points-topo-150k,50276-nz-fumarole-points-topo-150k\nz_fumarole_points_topo_150k.gpkg,nz_fumarole_points_topo_150k,Point,FALSE,69,EPSG:2193
Landcover,rock_outcrop_pnt,Landcover,Land_Layers,rock_outcrop,Landcover_point,point,50330-nz-rock-outcrop-points-topo-150k,50330-nz-rock-outcrop-points-topo-150k\nz_rock_outcrop_points_topo_150k.gpkg,nz_rock_outcrop_points_topo_150k,Point,FALSE,11388,EPSG:2193
Landcover,cemetery_poly,Landuse,Land_Layers,cemetery,Landuse,poly,50255-nz-cemetery-polygons-topo-150k,50255-nz-cemetery-polygons-topo-150k\nz_cemetery_polygons_topo_150k.gpkg,nz_cemetery_polygons_topo_150k,Polygon,FALSE,191,EPSG:2193
Landcover,golf_course_poly,Landuse,Land_Layers,golf_course,Landuse,poly,50281-nz-golf-course-polygons-topo-150k,50281-nz-golf-course-polygons-topo-150k\nz_golf_course_polygons_topo_150k.gpkg,nz_golf_course_polygons_topo_150k,Polygon,FALSE,402,EPSG:2193
Landcover,gravel_pit_poly,Landuse,Land_Layers,gravel_pit,Landuse,poly,50283-nz-gravel-pit-polygons-topo-150k,50283-nz-gravel-pit-polygons-topo-150k\nz_gravel_pit_polygons_topo_150k.gpkg,nz_gravel_pit_polygons_topo_150k,Polygon,FALSE,293,EPSG:2193
