LAYER,SYMBOL,COUNT,FEATURES,FONT,STYLE,COLOUR,SIZE,OFFSET,PLACEMENT,TEXTANCHOR,LABELANCHA
ATT-cond-black-height-12-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0012 and text_place = 1,,,,,,,,,,
ATT-cond-black-height-12-tp-31,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0012 and text_place = 31,,,,,,,,,,
ATT-cond-black-height-13-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0013 and text_place = 1,9.0,,,,,,,,,
ATT-cond-black-height-13-tp-7,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0013 and text_place in (7),,,,,,,,,,
ATT-cond-black-height-13-tp-34,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0013 and text_place in (34),,,,,,,,,,
ATT-cond-black-height-14-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (1),18457.0,place,ATTriumMou,Condensed,Black,5.5,-0.75,AL,,
ATT-cond-black-height-14-tp-2,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (2),764.0,place,ATTriumMou,Condensed,Black,5.5,,OL,,
ATT-cond-black-height-14-tp-3,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (3),382.0,place,ATTriumMou,Condensed,Black,5.5,-0.5,BL,,
ATT-cond-black-height-14-tp-4-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (4),49.0,,,,,,,,,
ATT-cond-black-height-14-tp-5-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (5),62.0,,,,,,,,,
ATT-cond-black-height-14-tp-6,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (6),50.0,,,,,,,,,
ATT-cond-black-height-14-tp-7,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (7),,,,,,,,,,
ATT-cond-black-height-14-tp-8-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (8),84.0,,,,,,,,,
ATT-cond-black-height-14-tp-9-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (9),,,,,,,,,,
ATT-cond-black-height-14-tp-21-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (21),,,,,,,,,,
ATT-cond-black-height-14-tp-31-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (31),630.0,,,,,,,,,
ATT-cond-black-height-14-tp-32,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (32),,,,,,,,,,
ATT-cond-black-height-14-tp-34-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (34),2625.0,,,,,,,,,
ATT-cond-black-height-14-tp-35-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (35),,,,,,,,,,
ATT-cond-black-height-14-tp-36-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (36),,,,,,,,,,
ATT-cond-black-height-14-tp-37-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (37),,,,,,,,,,
ATT-cond-black-height-14-tp-54-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (54),,,,,,,,,,
ATT-cond-black-height-14-tp-3534-todo,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0014 and text_place in (3534),,,,,,,,,,
ATT-cond-black-height-15-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0015 and text_place in (1),,,,,,,,,,
ATT-cond-black-height-17-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0017 and text_place in (1),384.0,place,ATTriumMou,Condensed,Black,6,-0.75,AL,,
ATT-cond-black-height-17-tp-2,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0017 and text_place in (2),23.0,,ATTriumMou,Condensed,Black,6,,OL,,
ATT-cond-black-height-17-tp-4,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0017 and text_place in (4),13.0,,,,,,,,,
ATT-cond-black-height-17-tp-34,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0017 and text_place in (34),,,,,,,,,,
ATT-cond-black-height-17-tp-35,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0017 and text_place in (35),,,,,,,,,,
ATT-cond-black-height-19-tp-1,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place = 1,2963.0,place,ATTriumMou,Condensed,Black,7,-0.9,AL,,
ATT-cond-black-height-19-tp-2,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (2),245.0,place,ATTriumMou,Condensed,Black,7,,OL,,
ATT-cond-black-height-19-tp-3,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (3),6.0,place,ATTriumMou,Condensed,Black,7,-0.3,BL,,
ATT-cond-black-height-19-tp-4,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (4),,,,,,,,,,
ATT-cond-black-height-19-tp-5,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (5),,,,,,,,,,
ATT-cond-black-height-19-tp-7,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (7),,,,,,,,,,
ATT-cond-black-height-19-tp-8,text_font = ATTriumMou-Cond and text_colour = 9 and text_height = 0.0019 and text_place in (8),,,,,,,,,,
