object_name,shp_name,theme,dataset,feature_type,layer_name,type,lds_Name
Names,descriptive_text,Annonation,Annonation_Layers,descriptive_text,Descriptive_Text,point,50261-nz-descriptive-texts-topo-150k
Names,geographic_name,Annonation,Annonation_Layers,geographic_name,Geographic_Name,point,50280-nz-geographic-names-topo-150k
Structure,building_poly,Buildings,Buildings_Layers,building,Building,poly,50246-nz-building-polygons-topo-150k
Structure,building_pnt,Buildings,Buildings_Layers,building,Building_point,point,50245-nz-building-points-topo-150k
Utility,pipeline_cl,Infrastructure,Infrastructure_Layers,pipeline,Physical_Infrastructure_line,line,50309-nz-pipeline-centrelines-topo-150k
Utility,powerline_cl,Infrastructure,Infrastructure_Layers,powerline,Physical_Infrastructure_line,line,50311-nz-powerline-centrelines-topo-150k
Utility,telephone_cl,Infrastructure,Infrastructure_Layers,telephone,Physical_Infrastructure_line,line,50362-nz-telephone-centrelines-topo-150k
Hydrography,water_race_cl,Infrastructure,Infrastructure_Layers,water_race,Physical_Infrastructure_line,line,50369-nz-water-race-centrelines-topo-150k
Structure,walkwire_cl,Infrastructure,Transport_Layers,walkwire,Physical_Infrastructure_line,line,50368-nz-walkwire-centrelines-topo-150k
Utility,gas_valve_pnt,Infrastructure,Infrastructure_Layers,gas_valve,Physical_Infrastructure_point,point,50277-nz-gas-valve-points-topo-150k
Utility,pylon_pnt,Infrastructure,Infrastructure_Layers,pylon,Physical_Infrastructure_point,point,50313-nz-pylon-points-topo-150k
Landcover,geo_bore_pnt,Infrastructure,Infrastructure_Layers,geo_bore,Physical_Infrastructure_point,point,50279-nz-geo-bore-points-topo-150k
Hydrography,coastline,Landcover,Water_Layers,coastline,Coastline,line,50258-nz-coastlines-topo-150k
Hydrography,island_poly,Landcover,Water_Layers,island,Island,poly,50288-nz-island-polygons-topo-150k
Landcover,moraine_poly,Landcover,Land_Layers,moraine,Landcover,poly,50303-nz-moraine-polygons-topo-150k
Landcover,moraine_wall_poly,Landcover,Land_Layers,moraine_wall,Landcover,poly,50304-nz-moraine-wall-polygons-topo-150k
Landcover,mud_poly,Landcover,Land_Layers,mud,Landcover,poly,50305-nz-mud-polygons-topo-150k
Landcover,sand_poly,Landcover,Land_Layers,sand,Landcover,poly,50335-nz-sand-polygons-topo-150k
Landcover,scree_poly,Landcover,Land_Layers,scree,Landcover,poly,50338-nz-scree-polygons-topo-150k
Landcover,shingle_poly,Landcover,Land_Layers,shingle,Landcover,poly,50342-nz-shingle-polygons-topo-150k
Hydrography,ice_poly,Landcover,Water_Layers,ice,Landcover,poly,50287-nz-ice-polygons-topo-150k
Landcover,fumarole_pnt,Landcover,Land_Layers,fumarole,Landcover_point,point,50276-nz-fumarole-points-topo-150k
Landcover,rock_outcrop_pnt,Landcover,Land_Layers,rock_outcrop,Landcover_point,point,50330-nz-rock-outcrop-points-topo-150k
Landcover,rock_poly,Landcover,Land_Layers,rock,Marine,poly,50332-nz-rock-polygons-topo-150k
Landcover,reef_poly,Landcover,Water_Layers,reef,Marine,poly,50323-nz-reef-polygons-topo-150k
Hydrography,shoal_poly,Landcover,Water_Layers,shoal,Marine,poly,50343-nz-shoal-polygons-topo-150k
Hydrography,mangrove_poly,Landcover,Water_Layers,mangrove,Marine,poly,50296-nz-mangrove-polygons-topo-150k
Relief,saddle_pnt,LandCover,Land_Layers,saddle,Place_point,point,50334-nz-saddle-points-topo-150k
Relief,cave_pnt,LandCover,Land_Layers,cave,Place_point,point,50253-nz-cave-points-topo-150k
Vegetative Landcover,tree_pnt,Landcover,Land_Layers,tree,Tree_Locations,point,50365-nz-tree-points-topo-150k
