text_bend,text_height,text_placement,style,colour,size,offset,placement,textanchor,labelanchor,charplace,chardistance
0,0.0012,1,Narrow,black,5.0,-1.6,AL,,,StretchCharacterSpacingToFit,
0,0.0012,2,Italic,process_blue,5.0,,OL,,,StretchCharacterSpacingToFit,
0,0.0012,31,Narrow,black,5.0,-1.6,AL,,,StretchCharacterSpacingToFit,
0,0.0013,1,Narrow,black,5.0,-1.5,AL,,,StretchCharacterSpacingToFit,
0,0.0013,2,Italic,process_blue,5.0,,OL,,,StretchCharacterSpacingToFit,
0,0.0013,31,Italic,process_blue,5.0,-1.5,AL,,,StretchWordSpacingToFit,
0,0.0013,31,Narrow,black,5.0,-1.5,AL,,,StretchCharacterSpacingToFit,
0,0.0014,1,Italic,black,6.0,-2.3,AL,,,StretchCharacterSpacingToFit,
0,0.0014,1,Italic,process_blue,6.0,-2.3,AL,,,StretchCharacterSpacingToFit,
0,0.0014,1,Narrow,black,6.0,-2.3,AL,,,StretchCharacterSpacingToFit,
0,0.0014,1,Narrow Italic,black,6.0,-2.3,AL,,,StretchCharacterSpacingToFit,
0,0.0014,2,Italic,black,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,2,Italic,process_blue,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,2,Narrow,black,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,2,Narrow Italic,black,6.0,,OL,,,,
0,0.0014,3,Italic,black,6.0,-1.5,BL,,,StretchCharacterSpacingToFit,
0,0.0014,3,Italic,process_blue,6.0,-1.5,BL,,,StretchWordSpacingToFit,
0,0.0014,3,Narrow,black,6.0,-1.5,BL,,,StretchCharacterSpacingToFit,
0,0.0014,21,Narrow,black,6.0,-2.3,AL,,,StretchCharacterSpacingToFit,
0,0.0014,31,Italic,black,6.0,-2.3,AL,,,StretchWordSpacingToFit,
0,0.0014,31,Italic,process_blue,6.0,-2.3,AL,,,StretchWordSpacingToFit,
0,0.0014,31,Narrow,black,6.0,-2.3,AL,,,StretchCharacterSpacingToFit,
0,0.0014,32,Italic,black,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,32,Italic,process_blue,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,32,Narrow,black,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,33,Italic,process_blue,6.0,,OL,,,StretchWordSpacingToFit,
0,0.0014,33,Narrow,black,6.0,-1.5,BL,,,StretchWordSpacingToFit,
0,0.0015,1,Narrow,black,6.0,-1.9,AL,,,StretchCharacterSpacingToFit,
0,0.0017,1,Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0017,1,Italic,process_blue,7.0,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0017,1,Narrow,black,7.0,-2.4,AL,,,StretchCharacterSpacingToFit,
0,0.0017,1,Narrow Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0017,1,Regular,black,5.0,-1.8,AL,,,StretchWordSpacingToFit,
0,0.0017,2,Italic,black,7.0,,OL,,,StretchWordSpacingToFit,
0,0.0017,2,Italic,process_blue,7.0,,OL,,,StretchWordSpacingToFit,
0,0.0017,2,Narrow,black,7.0,,OL,,,StretchCharacterSpacingToFit,
0,0.0017,2,Narrow Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0017,2,Regular,black,5.0,,OL,,,StretchWordSpacingToFit,
0,0.0017,31,Italic,black,7.0,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0017,31,Italic,process_blue,7.0,-2.4,AL,,,StretchWordSpacingToFit,
0,0.0017,31,Narrow,black,7.0,-2.4,AL,,,StretchCharacterSpacingToFit,
0,0.0017,31,Narrow Italic,black,7.0,-2.4,AL,,,StretchCharacterSpacingToFit,
